x,y
0.0698,0
0.03283,0
0.05356,0
0.1882,0
0.10356,0
0.1541,0
0.0829,0
0.17129,0
0.11978,0
0.14238,0
0.06633,0
0.0797,0
0.1133,0
0.14711,0
0.0686,0
0.0555,0
0.047,0
0.05673,0
0.07067,0
0.03714,0
0.05086,0
0.049,0
0.04757,0
0.1319,0
0.16891,0
0.09333,0
0.083,0
0.0796,1
0.23243,0
0.18545,0
0.1002,0
0.04171,0
0.05156,0
0.057,0
0.04117,0
0.048,0
0.0567,0
0.06267,0
0.0627,0
0.14875,0
0.07271,0
0.0679,0
0.07922,0
0.06386,0
0.05386,0
0.06314,0
0.056,0
0.0641,0
0.1168,0
0.06514,0
0.05175,0
0.05611,0
0.0655,0
0.10558,1
0.2428,0
0.12214,0
0.16167,0
0.12088,0
0.04283,0
0.0874,0
